,article_title,country,population,region,revision_id,article_quality
781,Ismet Popovac,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1115247176,FA
782,Hakija Pozderac,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,963175504,Start
783,Hamdija Pozderac,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1045803709,C
784,Nurija Pozderac,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1056889716,Start
785,Đuro Pucar,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1052519383,C
786,Fahrudin Radončić,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1101596243,C
787,Alen Šeranić,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1111537511,Start
788,Uglješa Uzelac,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1003796992,Start
789,Nezir Škaljić,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1107435418,C
790,Ibrahim Spahić,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,995023876,Start
791,Emir Suljagić,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1065740656,C
792,Svetozar Pudarić,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,1107151585,Start
793,Miloš Vukašinović,Bosnia-Herzegovina,3.4,SOUTHERN EUROPE,934652983,Start
794,Mato Arlović,Croatia,3.8,SOUTHERN EUROPE,995029235,Start
795,Antun Augustinčić,Croatia,3.8,SOUTHERN EUROPE,1107956669,GA
796,Jakov Blažević,Croatia,3.8,SOUTHERN EUROPE,1107642810,Stub
797,Mirko Bogović,Croatia,3.8,SOUTHERN EUROPE,1111957117,Stub
798,Zvonko Brkić,Croatia,3.8,SOUTHERN EUROPE,1079673510,Stub
799,Andrija Torkvat Brlić,Croatia,3.8,SOUTHERN EUROPE,1115206658,GA
800,Josip Broz Tito,Croatia,3.8,SOUTHERN EUROPE,1112945222,B
801,Nadežda Čačinovič,Croatia,3.8,SOUTHERN EUROPE,1112933531,Start
802,Melko Čingrija,Croatia,3.8,SOUTHERN EUROPE,1078887578,Start
803,Pero Čingrija,Croatia,3.8,SOUTHERN EUROPE,1078888021,Start
804,Juraj Demetrović,Croatia,3.8,SOUTHERN EUROPE,1080729797,Stub
805,Luigi Frari,Croatia,3.8,SOUTHERN EUROPE,1065837770,Start
806,Nikica Gabrić,Croatia,3.8,SOUTHERN EUROPE,1100953009,Stub
807,Leon Geršković,Croatia,3.8,SOUTHERN EUROPE,1100856578,Start
808,Pavle Gregorić,Croatia,3.8,SOUTHERN EUROPE,1010865645,Stub
809,Hakija Hadžić,Croatia,3.8,SOUTHERN EUROPE,1078015152,Start
810,Dragutin Haramija,Croatia,3.8,SOUTHERN EUROPE,1079673431,Stub
811,Ernest Jelušić,Croatia,3.8,SOUTHERN EUROPE,1035465045,Start
812,Emerik Josipović,Croatia,3.8,SOUTHERN EUROPE,1108439301,Stub
813,Gejza Josipović,Croatia,3.8,SOUTHERN EUROPE,1017549423,Stub
814,Radovan Juričić,Croatia,3.8,SOUTHERN EUROPE,1012985592,C
815,Luka Kirac,Croatia,3.8,SOUTHERN EUROPE,1112003841,GA
816,Rudi Kolak,Croatia,3.8,SOUTHERN EUROPE,1059610572,Start
817,Stjepan Kovačević,Croatia,3.8,SOUTHERN EUROPE,972227393,Stub
818,Josip Kregar,Croatia,3.8,SOUTHERN EUROPE,1022316460,Start
819,Izidor Kršnjavi,Croatia,3.8,SOUTHERN EUROPE,1105361975,Start
820,Šime Kurelić,Croatia,3.8,SOUTHERN EUROPE,1083761998,Start
821,Ante Mandić,Croatia,3.8,SOUTHERN EUROPE,1104609731,Stub
822,Vladimir Mažuranić,Croatia,3.8,SOUTHERN EUROPE,1070845254,Start
823,Danijel Mileta,Croatia,3.8,SOUTHERN EUROPE,1063882247,Start
824,Pavao Muhić,Croatia,3.8,SOUTHERN EUROPE,1009855661,Stub
825,Francesco Neffat,Croatia,3.8,SOUTHERN EUROPE,1087585656,Start
826,Fran Novljan,Croatia,3.8,SOUTHERN EUROPE,1086818268,Start
827,Petar Pejačević,Croatia,3.8,SOUTHERN EUROPE,1021214490,Stub
828,Kata Pejnović,Croatia,3.8,SOUTHERN EUROPE,1095342896,Start
829,Ivo Pilar,Croatia,3.8,SOUTHERN EUROPE,1089349756,C
830,Pero Pirker,Croatia,3.8,SOUTHERN EUROPE,1097968650,GA
831,Svetozar Pribićević,Croatia,3.8,SOUTHERN EUROPE,1093904984,C
832,Niko Pucić,Croatia,3.8,SOUTHERN EUROPE,1086466947,Start
833,Rafael Pucić,Croatia,3.8,SOUTHERN EUROPE,1109480180,Stub
834,Svetozar Rittig,Croatia,3.8,SOUTHERN EUROPE,1078580605,C
835,Vjekoslav Servatzy,Croatia,3.8,SOUTHERN EUROPE,1085075271,Start
836,Ivan Vilibor Sinčić,Croatia,3.8,SOUTHERN EUROPE,1107681809,Start
837,Tadija Smičiklas,Croatia,3.8,SOUTHERN EUROPE,1090985499,C
838,Vjekoslav Spinčić,Croatia,3.8,SOUTHERN EUROPE,1039143224,Start
839,Predrag Štromar,Croatia,3.8,SOUTHERN EUROPE,1049187655,Start
840,Josip Juraj Strossmayer,Croatia,3.8,SOUTHERN EUROPE,1111376276,C
841,Ante Šupuk,Croatia,3.8,SOUTHERN EUROPE,1015900174,Start
842,Đuro Šurmin,Croatia,3.8,SOUTHERN EUROPE,1031747692,Start
843,Ljudevit Vukotinović,Croatia,3.8,SOUTHERN EUROPE,1081133614,Start
844,Dragan Vulin,Croatia,3.8,SOUTHERN EUROPE,1031595837,Start
845,Lordan Zafranović,Croatia,3.8,SOUTHERN EUROPE,1112298171,C
846,Savo Zlatić,Croatia,3.8,SOUTHERN EUROPE,1019059043,C
847,Ante Županović,Croatia,3.8,SOUTHERN EUROPE,1014125709,Stub
848,Sefis Anastasakos,Greece,10.6,SOUTHERN EUROPE,1114739706,Stub
849,Avraam Vaporidis,Greece,10.6,SOUTHERN EUROPE,1114426656,Stub
850,Christos Daralexis,Greece,10.6,SOUTHERN EUROPE,1083450519,Stub
851,Alcibiades Diamandi,Greece,10.6,SOUTHERN EUROPE,1114419735,C
852,Ali Dino,Greece,10.6,SOUTHERN EUROPE,1100574549,Stub
853,Georgios Drys,Greece,10.6,SOUTHERN EUROPE,1100415739,Stub
854,Asimakis Fotilas,Greece,10.6,SOUTHERN EUROPE,1006771435,Start
855,Spyridon Galinos,Greece,10.6,SOUTHERN EUROPE,1089668131,Stub
856,Nasos Iliopoulos,Greece,10.6,SOUTHERN EUROPE,1106592503,Start
857,Ioannis Malachias,Greece,10.6,SOUTHERN EUROPE,1114420316,Stub
858,Theophilos Kamberidis,Greece,10.6,SOUTHERN EUROPE,1110970525,C
859,Stavros Karampelas,Greece,10.6,SOUTHERN EUROPE,1104181536,Stub
860,Ioanna Karyofylli,Greece,10.6,SOUTHERN EUROPE,1056916313,Start
861,Giorgos Katiforis,Greece,10.6,SOUTHERN EUROPE,1111751689,Stub
862,Yannis Katsafados,Greece,10.6,SOUTHERN EUROPE,1104181599,Stub
863,Matthaios Kofidis,Greece,10.6,SOUTHERN EUROPE,1102436898,B
864,Georgios Kourtoglou,Greece,10.6,SOUTHERN EUROPE,1114426821,Stub
865,Failos Kranidiotis,Greece,10.6,SOUTHERN EUROPE,1104132636,Start
866,Nikolaos Makris,Greece,10.6,SOUTHERN EUROPE,1111030855,Stub
867,Ismail Molla,Greece,10.6,SOUTHERN EUROPE,1104133505,Stub
868,Yannis Moralis (politician),Greece,10.6,SOUTHERN EUROPE,1100915111,Start
869,Traianos Nallis,Greece,10.6,SOUTHERN EUROPE,1114425452,Start
870,Theodoros Negris,Greece,10.6,SOUTHERN EUROPE,1102675411,Start
871,Nicholas Yatromanolakis,Greece,10.6,SOUTHERN EUROPE,1100089189,Start
872,Alketas Panagoulias,Greece,10.6,SOUTHERN EUROPE,1104856286,C
873,Yiannis Papadimitriou,Greece,10.6,SOUTHERN EUROPE,1108494320,Stub
874,Alekos Papadopoulos,Greece,10.6,SOUTHERN EUROPE,1107126511,Start
875,Takis Papageorgopoulos,Greece,10.6,SOUTHERN EUROPE,1105944213,Stub
876,Fotis Perlikos,Greece,10.6,SOUTHERN EUROPE,1104133452,Start
877,Avraham Rakanti,Greece,10.6,SOUTHERN EUROPE,1072684407,Stub
878,Vassilis Rotas,Greece,10.6,SOUTHERN EUROPE,1102118708,Start
879,Neoklis Sarris,Greece,10.6,SOUTHERN EUROPE,1104130544,Start
880,Simos Simopoulos,Greece,10.6,SOUTHERN EUROPE,1105193105,Stub
881,Sofoklis Avraam Choudaverdoglou-Theodotos,Greece,10.6,SOUTHERN EUROPE,1114427010,Start
882,Christos Stefanopoulos,Greece,10.6,SOUTHERN EUROPE,1012908864,Stub
883,Fotini Dekazou Stefanopoulou,Greece,10.6,SOUTHERN EUROPE,1098836353,Stub
884,Georgios Tertsetis,Greece,10.6,SOUTHERN EUROPE,1104880784,Start
885,Giannis Theonas,Greece,10.6,SOUTHERN EUROPE,1098690964,Stub
886,Theofanis Tombras,Greece,10.6,SOUTHERN EUROPE,1114952556,C
887,Eugenia Tsoumani-Spentza,Greece,10.6,SOUTHERN EUROPE,1104132955,Stub
888,Nikolaos Tsourouktsoglou,Greece,10.6,SOUTHERN EUROPE,1114427025,Start
889,Spyridon Valettas,Greece,10.6,SOUTHERN EUROPE,1110410508,Start
890,Leonidas Varouxis,Greece,10.6,SOUTHERN EUROPE,980510556,Stub
891,Nikitas Venizelos,Greece,10.6,SOUTHERN EUROPE,1102875015,Stub
892,Lysandros Vilaetis,Greece,10.6,SOUTHERN EUROPE,1109867368,Stub
893,Nikolaos Vilaetis,Greece,10.6,SOUTHERN EUROPE,996226732,Stub
894,Anestis Vlahos,Greece,10.6,SOUTHERN EUROPE,1111524798,Stub
895,Christos Zachopoulos,Greece,10.6,SOUTHERN EUROPE,1104181728,Stub
896,Konstantinos Zervas,Greece,10.6,SOUTHERN EUROPE,1115503449,Start
897,Spiros Zournatzis,Greece,10.6,SOUTHERN EUROPE,1110992544,Stub
898,Giuseppe Amadei,Italy,58.9,SOUTHERN EUROPE,1104409599,Stub
899,Umberto Ambrosoli,Italy,58.9,SOUTHERN EUROPE,1096165310,Stub
900,Alfredo Arpaia,Italy,58.9,SOUTHERN EUROPE,1108659968,Stub
901,Giovanni Battista Balbis,Italy,58.9,SOUTHERN EUROPE,1081744121,Stub
902,Pier Paolo Baretta,Italy,58.9,SOUTHERN EUROPE,1085280190,Start
903,Anton Giulio Barrili,Italy,58.9,SOUTHERN EUROPE,978567484,Stub
904,Alfonso Bartoli,Italy,58.9,SOUTHERN EUROPE,1035890081,C
905,Giordano Bianchi Dottula,Italy,58.9,SOUTHERN EUROPE,1079209576,Start
906,Gianpaolo Bissi,Italy,58.9,SOUTHERN EUROPE,1095508915,Stub
907,Gabriele Boscetto,Italy,58.9,SOUTHERN EUROPE,1100667138,Stub
908,Francesco Bosi,Italy,58.9,SOUTHERN EUROPE,1099307053,Stub
909,Giovanni Bovara,Italy,58.9,SOUTHERN EUROPE,1002536039,Start
910,Darko Bratina,Italy,58.9,SOUTHERN EUROPE,1094423354,Start
911,Gino Bucchino,Italy,58.9,SOUTHERN EUROPE,1060353087,Stub
912,Niccolò di Buonaccorso,Italy,58.9,SOUTHERN EUROPE,1107367081,Start
913,Marino Busdachin,Italy,58.9,SOUTHERN EUROPE,921347086,Start
914,Michele Caccavale,Italy,58.9,SOUTHERN EUROPE,1110804299,Stub
915,Davide Caparini,Italy,58.9,SOUTHERN EUROPE,1106490964,B
916,Livio Caputo,Italy,58.9,SOUTHERN EUROPE,1112747544,Stub
917,Viola Carofalo,Italy,58.9,SOUTHERN EUROPE,1096983528,Start
918,Francesco Carrara (jurist),Italy,58.9,SOUTHERN EUROPE,1056880051,Start
919,Filippo Cavazzuti,Italy,58.9,SOUTHERN EUROPE,1098591052,Stub
920,Enea Cerquetti,Italy,58.9,SOUTHERN EUROPE,1102908999,Start
921,Enrico Cialdini,Italy,58.9,SOUTHERN EUROPE,1103959317,Start
922,Michele Angelo Cianciulli,Italy,58.9,SOUTHERN EUROPE,857696567,Stub
923,"Luigi, Count Cibrario",Italy,58.9,SOUTHERN EUROPE,1095991908,C
924,Pompeo Colajanni,Italy,58.9,SOUTHERN EUROPE,1108161134,C
925,Stefano Colonna,Italy,58.9,SOUTHERN EUROPE,1004458598,Stub
926,Piero Ginori Conti,Italy,58.9,SOUTHERN EUROPE,1051092198,C
927,Alessandro Contini-Bonacossi,Italy,58.9,SOUTHERN EUROPE,1073522623,Start
928,Cesare Correnti,Italy,58.9,SOUTHERN EUROPE,1045556051,Start
929,Luca Coscioni,Italy,58.9,SOUTHERN EUROPE,1107042122,B
930,Teodoro Cottrau,Italy,58.9,SOUTHERN EUROPE,1086249371,Stub
931,Giovanni Cuomo,Italy,58.9,SOUTHERN EUROPE,1097157970,Start
932,Lucio D'Ubaldo,Italy,58.9,SOUTHERN EUROPE,1021444998,Stub
933,Marta Dassù,Italy,58.9,SOUTHERN EUROPE,1011675461,Start
934,Philippe Daverio,Italy,58.9,SOUTHERN EUROPE,1105900763,C
935,Antonio De Berti,Italy,58.9,SOUTHERN EUROPE,1115411575,C
936,Diana de Feo,Italy,58.9,SOUTHERN EUROPE,1102718245,Stub
937,Saverio De Michele,Italy,58.9,SOUTHERN EUROPE,1098283085,Start
938,Simon Doria,Italy,58.9,SOUTHERN EUROPE,1041520329,Start
939,Carlo Dossi,Italy,58.9,SOUTHERN EUROPE,1058161586,Start
940,Eugenio Duca,Italy,58.9,SOUTHERN EUROPE,1099980441,Stub
941,Vincenzo Duplancich,Italy,58.9,SOUTHERN EUROPE,1057045447,C
942,Carlo Fadda,Italy,58.9,SOUTHERN EUROPE,1056880141,Stub
943,Marco Fedi,Italy,58.9,SOUTHERN EUROPE,1050126521,Stub
944,Josip Ferfolja,Italy,58.9,SOUTHERN EUROPE,1099213916,Start
945,Bruno Ferrante,Italy,58.9,SOUTHERN EUROPE,1102059273,Stub
946,Carlo Filangieri,Italy,58.9,SOUTHERN EUROPE,1038445145,C
947,Paolo Filippi,Italy,58.9,SOUTHERN EUROPE,1100351018,Start
948,Vincenzo Filonardi,Italy,58.9,SOUTHERN EUROPE,1081798233,Start
949,Quirico Filopanti,Italy,58.9,SOUTHERN EUROPE,1087275146,Start
950,Costantino Fittante,Italy,58.9,SOUTHERN EUROPE,1098806023,Stub
951,Vittorio Fossombroni,Italy,58.9,SOUTHERN EUROPE,1077056035,Start
952,Francesca Romana D'Antuono,Italy,58.9,SOUTHERN EUROPE,1089634668,C
953,Pompeo Gabrielli,Italy,58.9,SOUTHERN EUROPE,1068544781,Start
954,Carlo Galli (political scientist),Italy,58.9,SOUTHERN EUROPE,1108504948,Stub
955,Ricciotti Garibaldi,Italy,58.9,SOUTHERN EUROPE,1089398766,Start
956,Gennaro Placco,Italy,58.9,SOUTHERN EUROPE,1095601753,Stub
957,Michele Geraci,Italy,58.9,SOUTHERN EUROPE,1110082021,C
958,Giovanni Giavazzi,Italy,58.9,SOUTHERN EUROPE,1108537924,Stub
959,Gaetano Gifuni,Italy,58.9,SOUTHERN EUROPE,1073317975,Start
960,Carlo Ginori,Italy,58.9,SOUTHERN EUROPE,901844540,Stub
961,Raffaello Giovagnoli,Italy,58.9,SOUTHERN EUROPE,1056783688,C
962,Nerio Giovanazzi,Italy,58.9,SOUTHERN EUROPE,1106251352,Stub
963,Carlo Ignazio Giulio,Italy,58.9,SOUTHERN EUROPE,1033701461,Stub
964,Osvaldo Gnocchi-Viani,Italy,58.9,SOUTHERN EUROPE,1073660757,C
965,Gaetano Gorgoni,Italy,58.9,SOUTHERN EUROPE,1103213789,Stub
966,Michele Gortani,Italy,58.9,SOUTHERN EUROPE,1032288622,Start
967,Giuseppe Govone,Italy,58.9,SOUTHERN EUROPE,1059207174,C
968,Francesco Domenico Guerrazzi,Italy,58.9,SOUTHERN EUROPE,978567488,Start
969,Umberto Klinger,Italy,58.9,SOUTHERN EUROPE,1114272796,C
970,Vincenzo La Russa,Italy,58.9,SOUTHERN EUROPE,1100035232,Stub
971,Luigi Porro Lambertenghi,Italy,58.9,SOUTHERN EUROPE,1081453534,Start
972,Enzo Lattuca,Italy,58.9,SOUTHERN EUROPE,1064363585,C
973,Monaldo Leopardi,Italy,58.9,SOUTHERN EUROPE,1113303098,C
974,David Levi (Italy),Italy,58.9,SOUTHERN EUROPE,1059903449,Start
975,Giovanni Lilliu,Italy,58.9,SOUTHERN EUROPE,1024650725,Stub
976,Calogero Lo Giudice,Italy,58.9,SOUTHERN EUROPE,1099628382,Stub
977,Alessandrina Lonardo,Italy,58.9,SOUTHERN EUROPE,1109618180,Stub
978,Andrea Maffei,Italy,58.9,SOUTHERN EUROPE,1047910388,Start
979,Mario Maiolo,Italy,58.9,SOUTHERN EUROPE,1083730536,Stub
980,Alessandra Maiorino,Italy,58.9,SOUTHERN EUROPE,1109617671,Start
981,Manfredo Manfredi,Italy,58.9,SOUTHERN EUROPE,1044737928,Stub
982,Vincenzo Maranghi,Italy,58.9,SOUTHERN EUROPE,1070394127,C
983,Filippo Mariotti,Italy,58.9,SOUTHERN EUROPE,1097157270,Stub
984,Manuel Marliani,Italy,58.9,SOUTHERN EUROPE,1062865219,Stub
985,Vincenzo Massilla,Italy,58.9,SOUTHERN EUROPE,1094446134,Start
986,Ottaviano de' Medici,Italy,58.9,SOUTHERN EUROPE,1068447633,Stub
987,Iacopo Melio,Italy,58.9,SOUTHERN EUROPE,1109590305,C
988,Francesco Melzi d'Eril,Italy,58.9,SOUTHERN EUROPE,1113433485,Start
989,Luigi Mercatelli,Italy,58.9,SOUTHERN EUROPE,1090401398,Stub
990,Enrico Millo,Italy,58.9,SOUTHERN EUROPE,1025299898,Start
991,Rosanna Minozzi,Italy,58.9,SOUTHERN EUROPE,1104316210,Stub
992,Antonio Misiani,Italy,58.9,SOUTHERN EUROPE,1115639309,C
993,Luciano Modica,Italy,58.9,SOUTHERN EUROPE,1098591905,Stub
994,Giuseppe Montanelli,Italy,58.9,SOUTHERN EUROPE,1044208861,Start
995,Bonincontro Morigia,Italy,58.9,SOUTHERN EUROPE,1089339333,Start
996,Maria Celeste Nardini,Italy,58.9,SOUTHERN EUROPE,1101206492,Stub
997,Diotisalvi Neroni,Italy,58.9,SOUTHERN EUROPE,1068525640,Stub
998,Vito Nunziante,Italy,58.9,SOUTHERN EUROPE,1032787113,B
999,Oldrado da Tresseno,Italy,58.9,SOUTHERN EUROPE,1041518550,Stub
1000,Mario Oriani-Ambrosini,Italy,58.9,SOUTHERN EUROPE,1105898291,C
1001,Ferdinando Palasciano,Italy,58.9,SOUTHERN EUROPE,1114153727,Start
1002,Pietro Paleocapa,Italy,58.9,SOUTHERN EUROPE,1112384637,Start
1003,Bartolomeo Panciatichi,Italy,58.9,SOUTHERN EUROPE,1052735553,Start
1004,Maffeo Pantaleoni,Italy,58.9,SOUTHERN EUROPE,1115591958,Start
1005,Gennaro Papa,Italy,58.9,SOUTHERN EUROPE,1113150934,Stub
1006,Renzo Patria,Italy,58.9,SOUTHERN EUROPE,1109586417,Stub
1007,Bartolo Pellegrino,Italy,58.9,SOUTHERN EUROPE,1108481183,Stub
1008,Giuseppe Perrucchetti,Italy,58.9,SOUTHERN EUROPE,1047838001,Start
1009,Pandolfo Petrucci,Italy,58.9,SOUTHERN EUROPE,1098670060,Start
1010,Augusto Pierantoni,Italy,58.9,SOUTHERN EUROPE,1096616611,Start
1011,Luigi Pizzardi,Italy,58.9,SOUTHERN EUROPE,1021444437,Stub
1012,Enzo Polidori,Italy,58.9,SOUTHERN EUROPE,1098588176,Stub
1013,Gustavo Ponza di San Martino,Italy,58.9,SOUTHERN EUROPE,1021447092,Stub
1014,Stefano Porcari,Italy,58.9,SOUTHERN EUROPE,1060134196,Start
1015,Giovanni Puoti,Italy,58.9,SOUTHERN EUROPE,1085943395,Stub
1016,Renzo Rabellino,Italy,58.9,SOUTHERN EUROPE,1115307413,Start
1017,Ercole Ricotti,Italy,58.9,SOUTHERN EUROPE,1089343827,Stub
1018,Roberto di Ridolfo,Italy,58.9,SOUTHERN EUROPE,1068433922,Start
1019,Italo Righi,Italy,58.9,SOUTHERN EUROPE,1041401611,Stub
1020,Arnaldo Rivera,Italy,58.9,SOUTHERN EUROPE,1101656316,C
1021,Pellegrino Rossi,Italy,58.9,SOUTHERN EUROPE,1079173570,C
1022,Luca Rovinalti,Italy,58.9,SOUTHERN EUROPE,1068280342,Stub
1023,Roberto Sajeva,Italy,58.9,SOUTHERN EUROPE,1114890475,Stub
1024,Francesco Saverio Salfi,Italy,58.9,SOUTHERN EUROPE,1105226555,C
1025,Aurelio Saliceti,Italy,58.9,SOUTHERN EUROPE,1097154675,Stub
1026,Coluccio Salutati,Italy,58.9,SOUTHERN EUROPE,1067664623,C
1027,Riccardo Sarfatti,Italy,58.9,SOUTHERN EUROPE,1112451184,Start
1028,Pandolfo Savelli,Italy,58.9,SOUTHERN EUROPE,934179191,Stub
1029,Bartolomeo Scala,Italy,58.9,SOUTHERN EUROPE,1086210884,Stub
1030,Giovanni Scuderi,Italy,58.9,SOUTHERN EUROPE,1113362916,Start
1031,Federico Seismit-Doda,Italy,58.9,SOUTHERN EUROPE,1102489715,Stub
1032,Salvatore Senese,Italy,58.9,SOUTHERN EUROPE,1108537931,Stub
1033,Piero Soderini,Italy,58.9,SOUTHERN EUROPE,1114531110,Start
1034,Giovanni Battista Sommariva,Italy,58.9,SOUTHERN EUROPE,1113076270,Start
1035,Giorgio Sonnino,Italy,58.9,SOUTHERN EUROPE,1114835603,Stub
1036,Domenico Spanò Bolani,Italy,58.9,SOUTHERN EUROPE,1021446961,Stub
1037,Nicola Squitti,Italy,58.9,SOUTHERN EUROPE,943086340,Start
1038,Filippo Strozzi the Elder,Italy,58.9,SOUTHERN EUROPE,1089085684,Start
1039,Alberto Tarchiani,Italy,58.9,SOUTHERN EUROPE,1074674019,Start
1040,Carlo Tivaroni,Italy,58.9,SOUTHERN EUROPE,1098440735,Start
1041,Massimo Tononi,Italy,58.9,SOUTHERN EUROPE,1068547666,Start
1042,Quarto Trabacchini,Italy,58.9,SOUTHERN EUROPE,1098588998,Stub
1043,Nicola Tranfaglia,Italy,58.9,SOUTHERN EUROPE,1098592241,Stub
1044,Lanfranco Turci,Italy,58.9,SOUTHERN EUROPE,1098150312,Stub
1045,Giuseppe Vatinno,Italy,58.9,SOUTHERN EUROPE,1011148346,Start
1046,Francesco I Ventimiglia,Italy,58.9,SOUTHERN EUROPE,1098130333,Start
1047,Pasquale Villari,Italy,58.9,SOUTHERN EUROPE,1094720733,C
1048,Ingo della Volta,Italy,58.9,SOUTHERN EUROPE,1080429324,Start
1049,Giacomo Vuxani,Italy,58.9,SOUTHERN EUROPE,1068171035,Start
1050,William of Capparone,Italy,58.9,SOUTHERN EUROPE,855285774,Start
1051,Riccardo Zanella,Italy,58.9,SOUTHERN EUROPE,1035064338,Start
1052,Angelo Ziccardi,Italy,58.9,SOUTHERN EUROPE,1108484468,Stub
1053,Stefano Zuccherini,Italy,58.9,SOUTHERN EUROPE,1100349249,Stub
1054,Leopoldo Zunini,Italy,58.9,SOUTHERN EUROPE,1108571793,Stub
1055,Ali Aliu,Kosovo,1.8,SOUTHERN EUROPE,1088823081,Start
1056,Sejdo Bajramović,Kosovo,1.8,SOUTHERN EUROPE,1106919692,Start
1057,Hamza Balje,Kosovo,1.8,SOUTHERN EUROPE,988565530,Stub
1058,Bekim Çollaku,Kosovo,1.8,SOUTHERN EUROPE,989081930,Start
1059,Veli Deva,Kosovo,1.8,SOUTHERN EUROPE,1097087563,Stub
1060,Bajram Gecaj,Kosovo,1.8,SOUTHERN EUROPE,1085013172,Start
1061,Getoar Mjeku,Kosovo,1.8,SOUTHERN EUROPE,1110432610,GA
1062,Mulla Idriz Gjilani,Kosovo,1.8,SOUTHERN EUROPE,1109348179,Start
1063,Bajram Hasani,Kosovo,1.8,SOUTHERN EUROPE,1068907924,Stub
1064,Adem Hodža,Kosovo,1.8,SOUTHERN EUROPE,1089913595,Start
1065,Adrijana Hodžić,Kosovo,1.8,SOUTHERN EUROPE,1059619919,Start
1066,Oliver Ivanović,Kosovo,1.8,SOUTHERN EUROPE,1110781072,C
1067,Ragip Jashari,Kosovo,1.8,SOUTHERN EUROPE,933663830,Stub
1068,Elbert Krasniqi,Kosovo,1.8,SOUTHERN EUROPE,1100006829,Start
1069,Rrahman Morina,Kosovo,1.8,SOUTHERN EUROPE,1047859449,Start
1070,Hasan Prishtina,Kosovo,1.8,SOUTHERN EUROPE,1114419215,C
1071,Gazmend Pula,Kosovo,1.8,SOUTHERN EUROPE,1113326325,Stub
1072,Goran Rakić,Kosovo,1.8,SOUTHERN EUROPE,1105188963,C
1073,Nenad Rašić,Kosovo,1.8,SOUTHERN EUROPE,1041150203,Stub
1074,Selim Selimi,Kosovo,1.8,SOUTHERN EUROPE,1102497560,Stub
1075,Igor Simić,Kosovo,1.8,SOUTHERN EUROPE,1110535502,Start
1076,Rexhai Surroi,Kosovo,1.8,SOUTHERN EUROPE,1034004343,Start
1077,Rada Trajković,Kosovo,1.8,SOUTHERN EUROPE,1109175174,Start
1078,Visar Ymeri,Kosovo,1.8,SOUTHERN EUROPE,1036757024,Stub
1079,Anthony Borg Barthet,Malta,0.5,SOUTHERN EUROPE,1050188755,Start
1080,Leo Brincat,Malta,0.5,SOUTHERN EUROPE,1101776347,Start
1081,Clyde Caruana,Malta,0.5,SOUTHERN EUROPE,1111217031,Start
1082,Manwel Dimech,Malta,0.5,SOUTHERN EUROPE,1105882271,B
1083,Pierre Jean Louis Ovide Doublet,Malta,0.5,SOUTHERN EUROPE,1115571537,C
1084,Anton Tabone,Malta,0.5,SOUTHERN EUROPE,1111217502,Start
1085,Stefan Zrinzo Azzopardi,Malta,0.5,SOUTHERN EUROPE,1108276267,Start
1086,Dritan Abazović,Montenegro,0.6,SOUTHERN EUROPE,1114648940,GA
1087,Božidar Bojović,Montenegro,0.6,SOUTHERN EUROPE,1100211141,Start
1088,Jevrem Brković,Montenegro,0.6,SOUTHERN EUROPE,1100427296,Start
1089,Predrag Bulatović,Montenegro,0.6,SOUTHERN EUROPE,1109754194,Start
1090,Miodrag Davidović,Montenegro,0.6,SOUTHERN EUROPE,1107963087,C
1091,Vladimir Dobričanin,Montenegro,0.6,SOUTHERN EUROPE,1030728031,C
1092,Dobrilo Dedeić,Montenegro,0.6,SOUTHERN EUROPE,696310078,Stub
1093,Sekula Drljević,Montenegro,0.6,SOUTHERN EUROPE,1109481661,GA
1094,Fatmir Gjeka,Montenegro,0.6,SOUTHERN EUROPE,1111732314,Start
1095,Milutin Jelić,Montenegro,0.6,SOUTHERN EUROPE,1051132831,C
1096,Batrić Jovanović,Montenegro,0.6,SOUTHERN EUROPE,1070488778,Stub
1097,Jovan Kavarić,Montenegro,0.6,SOUTHERN EUROPE,1030708917,Stub
1098,Zdravko Krivokapić,Montenegro,0.6,SOUTHERN EUROPE,1113234942,FA
1099,Vujica Lazović,Montenegro,0.6,SOUTHERN EUROPE,1108706425,Start
1100,Vladimir Leposavić,Montenegro,0.6,SOUTHERN EUROPE,1073191784,C
1101,Stjepan Mitrov Ljubiša,Montenegro,0.6,SOUTHERN EUROPE,1099266672,C
1102,Stevan Lukačević,Montenegro,0.6,SOUTHERN EUROPE,1030707781,Stub
1103,Savić Marković Štedimlija,Montenegro,0.6,SOUTHERN EUROPE,1113219745,C
1104,Tarzan Milošević,Montenegro,0.6,SOUTHERN EUROPE,1073191907,Stub
1105,Iko Mirković,Montenegro,0.6,SOUTHERN EUROPE,1030708648,Start
