,article_title,country,population,region,revision_id,article_quality
73,Abdul Karim Misaq,Afghanistan,41.1,SOUTH ASIA,1052669338,Stub
74,Ali Mohammad (politician),Afghanistan,41.1,SOUTH ASIA,1050463798,Stub
75,Nasruddin Mohseni,Afghanistan,41.1,SOUTH ASIA,1095044526,Start
76,Davood Moradian,Afghanistan,41.1,SOUTH ASIA,1106284627,Stub
77,Zalmai Mujadidi,Afghanistan,41.1,SOUTH ASIA,1104635001,Start
78,Fazal Haq Mujahid,Afghanistan,41.1,SOUTH ASIA,1113267490,C
79,Rahmatullah Nabil,Afghanistan,41.1,SOUTH ASIA,1112496538,Start
80,Sardar Mohammad Nadir Naeem,Afghanistan,41.1,SOUTH ASIA,1038680015,Stub
81,Daoud Naji,Afghanistan,41.1,SOUTH ASIA,1110983467,Start
82,Gholam Rabani Nasher,Afghanistan,41.1,SOUTH ASIA,916899472,Stub
83,Muhammad Yunus Nawandish,Afghanistan,41.1,SOUTH ASIA,1111494390,C
84,Ali Maisam Nazary,Afghanistan,41.1,SOUTH ASIA,1107279930,Start
85,Ghulam Faroq Nijrabi,Afghanistan,41.1,SOUTH ASIA,1093612575,Stub
86,Zabih-U-llah Ghazi Noristani,Afghanistan,41.1,SOUTH ASIA,1001786762,Start
87,Mohammed Tahir Omar,Afghanistan,41.1,SOUTH ASIA,996093541,Stub
88,Nasrin Oryakhil,Afghanistan,41.1,SOUTH ASIA,1097277701,Start
89,Murad Quenili,Afghanistan,41.1,SOUTH ASIA,1093963498,Stub
90,Ghulam Mohammad Rigi,Afghanistan,41.1,SOUTH ASIA,918256992,Stub
91,Ghulam Hassan Safi,Afghanistan,41.1,SOUTH ASIA,987269301,Stub
92,Hanifa Safi,Afghanistan,41.1,SOUTH ASIA,994195074,Stub
93,Amrullah Saleh,Afghanistan,41.1,SOUTH ASIA,1115022704,FA
94,Mohammed Zia Salehi,Afghanistan,41.1,SOUTH ASIA,889806024,Stub
95,Abdul Majid Samim,Afghanistan,41.1,SOUTH ASIA,1098092701,Stub
96,Saber Sangar,Afghanistan,41.1,SOUTH ASIA,1019860497,Stub
97,Muhammad Arif Sarwari,Afghanistan,41.1,SOUTH ASIA,1079170926,Start
98,Sayed Nasim Mihanparast,Afghanistan,41.1,SOUTH ASIA,1115496635,Stub
99,Sayyid Husayn,Afghanistan,41.1,SOUTH ASIA,1095559301,Stub
100,Suhail Shaheen,Afghanistan,41.1,SOUTH ASIA,1102910228,Start
101,Mohammad Shakir Kargar,Afghanistan,41.1,SOUTH ASIA,1096574840,C
102,Baktash Siawash,Afghanistan,41.1,SOUTH ASIA,1111917754,Stub
103,Awtar Singh,Afghanistan,41.1,SOUTH ASIA,1115100619,Stub
104,Hasan Ali Sultani,Afghanistan,41.1,SOUTH ASIA,1060706902,Stub
105,Faramarz Tamanna,Afghanistan,41.1,SOUTH ASIA,1106885861,C
106,Mohammad Hashem Taufiqui,Afghanistan,41.1,SOUTH ASIA,1021308429,Start
107,Nur ul-Haq Ulumi,Afghanistan,41.1,SOUTH ASIA,1107429109,GA
108,Pacha Gul Wafadar,Afghanistan,41.1,SOUTH ASIA,1020846299,Stub
109,Wahidullah Waissi,Afghanistan,41.1,SOUTH ASIA,1111508295,C
110,Gul Ahmmad Yama,Afghanistan,41.1,SOUTH ASIA,1060707715,Start
111,Al-Haj Suliman Yari,Afghanistan,41.1,SOUTH ASIA,1092426408,Stub
112,Abdul Salam Zaeef,Afghanistan,41.1,SOUTH ASIA,1106388504,GA
113,Abdul Zahir (Konar Education Minister),Afghanistan,41.1,SOUTH ASIA,1097261199,Stub
114,Mohammed Zaman,Afghanistan,41.1,SOUTH ASIA,1108389318,Start
115,Ziauddin (Afghan militia leader),Afghanistan,41.1,SOUTH ASIA,1095799892,Start
116,Qari Ziauddin,Afghanistan,41.1,SOUTH ASIA,1033608758,Start
117,Abdul Ghafor Zori,Afghanistan,41.1,SOUTH ASIA,994023417,Stub
118,Oli Ahad,Bangladesh,171.2,SOUTH ASIA,1076894174,Start
119,Farid Ahmed,Bangladesh,171.2,SOUTH ASIA,1066581020,Stub
120,Muzaffar Ahmed (NAP politician),Bangladesh,171.2,SOUTH ASIA,1109740890,Start
121,AKM Hafizuddin,Bangladesh,171.2,SOUTH ASIA,1082571647,Start
122,Mohammad Manjur Alam,Bangladesh,171.2,SOUTH ASIA,1099697606,Start
123,Aftab Ali,Bangladesh,171.2,SOUTH ASIA,1111168357,C
124,M Hossain Ali,Bangladesh,171.2,SOUTH ASIA,1081670946,Start
125,Ashab Uddin Ahmad,Bangladesh,171.2,SOUTH ASIA,1106492750,B
126,Selina Banu,Bangladesh,171.2,SOUTH ASIA,1059919387,Start
127,Nurul Huq Bhuiyan,Bangladesh,171.2,SOUTH ASIA,1087353972,Stub
128,Bishnu Chattopadhyay,Bangladesh,171.2,SOUTH ASIA,1108066856,Start
129,AKM Fazlul Kabir Chowdhury,Bangladesh,171.2,SOUTH ASIA,1115026757,Start
130,Aminul Islam Chowdhury,Bangladesh,171.2,SOUTH ASIA,1068738297,Stub
131,Anwarul Karim Chowdhury,Bangladesh,171.2,SOUTH ASIA,1097570502,C
132,Moinuddin Ahmed Chowdhury,Bangladesh,171.2,SOUTH ASIA,1038606051,C
133,Sarwar Jan Chowdhury,Bangladesh,171.2,SOUTH ASIA,1052088875,Stub
134,Shahinur Pasha Chowdhury,Bangladesh,171.2,SOUTH ASIA,1102455717,Start
135,Yusuf Ali Chowdhury,Bangladesh,171.2,SOUTH ASIA,1098197979,Start
136,Haji Mohammad Danesh,Bangladesh,171.2,SOUTH ASIA,1090578062,C
137,Pulin De,Bangladesh,171.2,SOUTH ASIA,1038607348,Start
138,James Leo Ferguson,Bangladesh,171.2,SOUTH ASIA,1098196717,C
139,Abdul Halim Ghaznavi,Bangladesh,171.2,SOUTH ASIA,1112056773,Start
140,Debendra Nath Ghosh,Bangladesh,171.2,SOUTH ASIA,1110092316,Stub
141,Ranesh Das Gupta,Bangladesh,171.2,SOUTH ASIA,1038609480,Start
